Epoch,Loss
0,0.699479
1,0.496314
2,0.410334
3,0.358543
4,0.322386
5,0.295046
6,0.27331
7,0.255423
8,0.240327
9,0.227347
10,0.216018
11,0.206008
12,0.197078
13,0.189043
14,0.181763
15,0.175128
16,0.169047
17,0.163448
18,0.158271
19,0.153466
20,0.148992
21,0.144812
22,0.140896
23,0.137217
24,0.133754
25,0.130487
26,0.127397
27,0.124471
28,0.121694
29,0.119055
30,0.116543
31,0.114149
32,0.111865
33,0.109682
34,0.107593
35,0.105593
36,0.103676
37,0.101836
38,0.10007
39,0.0983709
40,0.0967364
41,0.0951626
42,0.0936461
43,0.0921836
44,0.0907725
45,0.0894097
46,0.088093
47,0.08682
48,0.0855883
49,0.0843962
50,0.0832418
51,0.0821232
52,0.0810387
53,0.0799869
54,0.0789662
55,0.0779754
56,0.077013
57,0.0760781
58,0.0751694
59,0.0742859
60,0.0734264
61,0.0725901
62,0.0717762
63,0.0709837
64,0.0702117
65,0.0694594
66,0.0687262
67,0.0680115
68,0.0673145
69,0.0666345
70,0.0659711
71,0.0653235
72,0.0646913
73,0.064074
74,0.063471
75,0.0628818
76,0.062306
77,0.0617431
78,0.0611928
79,0.0606546
80,0.0601282
81,0.0596132
82,0.0591092
83,0.0586158
84,0.0416983
85,0.0168184
86,0.0174127
87,0.0173631
88,0.0173133
89,0.0172655
90,0.017219
91,0.0171735
92,0.0171297
93,0.0170865
94,0.0170442
95,0.017003
96,0.0169629
97,0.0169233
98,0.0168849
99,0.0168473
