Epoch,Loss
0,0.467267
1,0.290678
2,0.207312
3,0.0649596
4,0.0599905
5,0.0543778
6,0.0424468
7,0.0403263
8,0.0378105
9,0.0316262
10,0.030276
11,0.0285475
12,0.0243477
13,0.0233952
14,0.0222361
15,0.0193495
16,0.0187022
17,0.0179005
18,0.0157537
19,0.0152478
20,0.0146454
21,0.0129936
22,0.0126169
23,0.0121665
24,0.0109912
25,0.0106991
26,0.0103499
27,0.00939932
28,0.00917552
29,0.00890531
30,0.00822634
31,0.00804983
32,0.00783543
33,0.00727694
34,0.00714944
35,0.0069743
36,0.00651646
37,0.00638716
38,0.0062143
39,0.00583569
40,0.0057501
41,0.00563407
42,0.00535179
43,0.00527912
44,0.00518645
45,0.00492411
46,0.00486457
47,0.00479207
48,0.00457332
49,0.00452252
50,0.0044633
51,0.00427591
52,0.00423684
53,0.00419028
54,0.00405542
55,0.00402287
56,0.00398389
57,0.00388008
58,0.00385705
59,0.00383098
60,0.00375437
61,0.003736
62,0.00371335
63,0.00365119
64,0.00363692
65,0.00362008
66,0.00356688
67,0.00355586
68,0.00354138
69,0.00349546
70,0.00348745
71,0.0034773
72,0.00344903
73,0.00343734
74,0.00342712
75,0.0033967
76,0.00339011
77,0.0033799
78,0.00335454
79,0.00335041
80,0.00334154
81,0.00332021
82,0.00331562
83,0.00330733
84,0.00328681
85,0.00328304
86,0.0032763
87,0.00326311
88,0.00325899
89,0.003252
90,0.00324033
91,0.0032339
92,0.00322834
93,0.00321506
94,0.0032241
95,0.00323033
96,0.0032095
97,0.00320514
98,0.00321329
99,0.00318569
