Epoch,Loss
0,0.976437
1,0.674343
2,0.552924
3,0.483993
4,0.438136
5,0.404714
6,0.378856
7,0.358012
8,0.34071
9,0.326037
10,0.313377
11,0.302307
12,0.29252
13,0.283781
14,0.275915
15,0.268783
16,0.262278
17,0.256309
18,0.250806
19,0.245709
20,0.24097
21,0.236551
22,0.232416
23,0.228539
24,0.224892
25,0.221455
26,0.218207
27,0.21513
28,0.212211
29,0.209437
30,0.206795
31,0.204276
32,0.201869
33,0.199568
34,0.197364
35,0.19525
36,0.193223
37,0.191274
38,0.189399
39,0.187593
40,0.185851
41,0.184171
42,0.182548
43,0.18098
44,0.179462
45,0.177994
46,0.176573
47,0.175195
48,0.173859
49,0.172563
50,0.171305
51,0.170083
52,0.168896
53,0.167741
54,0.166618
55,0.165524
56,0.164459
57,0.163422
58,0.162411
59,0.161425
60,0.160463
61,0.159525
62,0.158609
63,0.157714
64,0.15684
65,0.155986
66,0.155151
67,0.154335
68,0.153536
69,0.152755
70,0.151991
71,0.151243
72,0.15051
73,0.149792
74,0.149089
75,0.1484
76,0.147725
77,0.147062
78,0.146412
79,0.145775
80,0.145149
81,0.144535
82,0.143933
83,0.143341
84,0.14276
85,0.142189
86,0.141627
87,0.141075
88,0.140532
89,0.139999
90,0.139474
91,0.138958
92,0.13845
93,0.13795
94,0.137458
95,0.136973
96,0.136496
97,0.136027
98,0.135564
99,0.135109
