Epoch,Loss
0,0.73787
1,0.448052
2,0.33467
3,0.0876439
4,0.0816766
5,0.0768863
6,0.0610655
7,0.0585332
8,0.0562475
9,0.0481311
10,0.0465637
11,0.0451581
12,0.0400062
13,0.0389325
14,0.037937
15,0.0342676
16,0.0334845
17,0.0327614
18,0.0300113
19,0.0293943
20,0.0288128
21,0.0265724
22,0.0260745
23,0.0255935
24,0.0237493
25,0.0233304
26,0.0229116
27,0.0213008
28,0.0209253
29,0.0205644
30,0.0191676
31,0.0188609
32,0.0185619
33,0.0173684
34,0.0171256
35,0.016868
36,0.0158492
37,0.0156435
38,0.0154406
39,0.0145908
40,0.0144163
41,0.0142341
42,0.0135177
43,0.0133566
44,0.0131927
45,0.0125518
46,0.0124068
47,0.0122552
48,0.0117045
49,0.0115701
50,0.0114366
51,0.0109153
52,0.0108044
53,0.0106944
54,0.010273
55,0.0101819
56,0.0100983
57,0.00974691
58,0.00965401
59,0.00957427
60,0.00923357
61,0.00915954
62,0.00908868
63,0.00880138
64,0.00875445
65,0.00868736
66,0.0084282
67,0.00836022
68,0.00829248
69,0.00804268
70,0.00797707
71,0.00791415
72,0.00769194
73,0.00763485
74,0.00758166
75,0.00740506
76,0.00733043
77,0.00727473
78,0.00705562
79,0.00699729
80,0.00693839
81,0.00669204
82,0.0066269
83,0.00656228
84,0.00634856
85,0.00629324
86,0.00625214
87,0.00609108
88,0.00604756
89,0.00601057
90,0.00588366
91,0.00584543
92,0.00581568
93,0.00569871
94,0.0056681
95,0.00564002
96,0.00559551
97,0.00553262
98,0.00548598
99,0.00531278
